,City,Country,Temperature,Humidity,Cloudiness,Windspeed,Latitude,Longitude
0,katsuura,JP,70.93,93,90,7.47,35.1333,140.3
1,bredasdorp,ZA,69.03,54,97,4.21,-34.5322,20.0403
2,arlit,NE,103.91,15,2,6.35,18.7369,7.3853
3,shenzhen,CN,87.28,83,93,7.54,22.5455,114.0683
4,norilsk,RU,83.43,26,63,14.47,69.3535,88.2027
5,santa cruz del sur,CU,74.28,92,39,8.93,20.7147,-77.9956
6,mataura,NZ,32.49,93,12,2.77,-46.1927,168.8643
7,oranjemund,NA,57.76,72,4,5.35,-28.55,16.4333
8,albany,US,63.3,91,79,3.0,42.6001,-73.9662
9,jamestown,US,78.39,82,0,8.05,42.097,-79.2353
10,statesville,US,68.59,88,0,0.0,35.7826,-80.8873
11,teguldet,RU,70.03,73,65,10.04,57.3064,88.1667
12,cape town,ZA,73.11,65,32,4.0,-33.9258,18.4232
13,busselton,AU,62.51,80,39,10.89,-33.65,115.3333
14,luganville,VU,76.6,87,95,13.49,-15.5333,167.1667
15,punta arenas,CL,35.71,80,0,14.97,-53.15,-70.9167
16,hilo,US,75.27,92,75,4.0,19.7297,-155.09
17,zabaykalsk,RU,75.61,43,19,5.82,49.6333,117.3167
18,faanui,PF,79.95,70,37,11.14,-16.4833,-151.75
19,padang,ID,80.65,84,69,1.63,-0.9492,100.3543
20,raudeberg,NO,53.96,77,100,29.28,61.9875,5.1352
21,ushuaia,AR,38.86,81,40,26.46,-54.8,-68.3
22,kavieng,PG,81.55,77,45,6.2,-2.5744,150.7967
23,khatanga,RU,57.97,44,98,11.7,71.9667,102.5
24,nishihara,JP,83.68,86,20,10.36,26.1842,127.7558
25,bengkulu,ID,79.9,79,80,1.86,-3.8004,102.2655
26,rikitea,PF,73.4,67,8,10.65,-23.1203,-134.9692
27,vaini,TO,71.76,78,20,9.22,-21.2,-175.2
28,hermanus,ZA,70.81,61,98,3.36,-34.4187,19.2345
29,fortuna,US,50.34,100,0,0.0,40.5982,-124.1573
30,bluff,NZ,32.81,85,29,7.23,-46.6,168.3333
31,aklavik,CA,52.11,58,83,7.16,68.2191,-135.0107
32,esperance,AU,62.96,65,2,9.73,-33.8667,121.9
33,pilar,BR,76.93,92,97,5.06,-9.5972,-35.9567
34,havoysund,NO,44.83,88,100,8.25,70.9963,24.6622
35,diego de almagro,CL,39.79,84,0,3.15,-26.3667,-70.05
36,yellowknife,CA,57.56,58,5,15.99,62.456,-114.3525
37,geraldton,AU,64.81,82,0,4.61,-28.7667,114.6
38,basco,PH,86.14,77,56,13.6,20.4487,121.9702
39,sandy bay,AU,47.08,90,75,6.91,-42.913,147.3532
40,chuy,UY,51.66,72,100,15.59,-33.6971,-53.4616
41,glyadyanskoye,RU,71.24,58,32,21.07,54.9075,65.0883
42,warrnambool,AU,55.81,90,100,11.95,-38.3833,142.4833
43,faridkot,IN,97.36,28,0,8.25,30.6667,74.75
44,alofi,NU,79.02,77,94,12.64,-19.0595,-169.9187
45,puerto ayora,EC,70.56,87,83,3.0,-0.7393,-90.3518
46,kingaroy,AU,51.24,77,0,3.44,-26.5333,151.8333
47,provideniya,RU,41.77,99,100,9.93,64.3833,-173.3
48,avarua,CK,78.85,89,20,10.36,-21.2078,-159.775
49,pangody,RU,79.14,41,83,9.6,65.85,74.4859
50,kahului,US,77.85,74,40,11.5,20.8947,-156.47
51,severo-kurilsk,RU,44.4,95,58,12.19,50.6789,156.125
52,victoria,HK,87.85,77,97,8.99,22.2855,114.1577
53,barrow,US,42.82,93,100,9.22,71.2906,-156.7887
54,georgetown,MY,85.95,76,20,3.44,5.4112,100.3354
55,atuona,PF,77.31,67,52,24.32,-9.8,-139.0333
56,kapaa,US,75.11,91,100,11.5,22.0752,-159.319
57,kollegal,IN,81.48,58,100,11.77,12.15,77.1167
58,vigrestad,NO,57.88,71,100,12.53,58.5667,5.7
59,zhezkazgan,KZ,93.18,16,0,15.66,47.8043,67.7144
60,chokurdakh,RU,49.78,88,100,11.81,70.6333,147.9167
61,alice springs,AU,51.35,62,0,5.75,-23.7,133.8833
62,bandarbeyla,SO,91.47,45,95,28.5,9.4942,50.8122
63,roald,NO,64.17,66,75,14.97,62.5833,6.1333
64,mar del plata,AR,45.09,59,60,5.01,-38.0023,-57.5575
65,marsa matruh,EG,81.66,61,0,16.62,31.3525,27.2453
66,hobart,AU,47.05,90,75,6.91,-42.8794,147.3294
67,cabo san lucas,MX,81.7,81,19,12.03,22.8909,-109.9124
68,inegol,TR,83.48,33,0,12.33,40.0781,29.5133
69,klaksvik,FO,52.72,81,98,28.81,62.2266,-6.589
70,shahreza,IR,95.0,5,0,18.14,32.0339,51.8794
71,panama city,PA,77.29,94,100,3.44,8.9936,-79.5197
72,acarau,BR,76.73,79,36,13.53,-2.8856,-40.12
73,saint-philippe,RE,74.79,62,7,8.81,-21.3585,55.7679
74,bonthe,SL,80.78,75,91,5.5,7.5264,-12.505
75,cascais,PT,67.96,74,40,15.99,38.6979,-9.4215
76,bardiyah,LY,82.24,57,0,17.56,31.7561,25.0865
77,leningradskiy,RU,34.45,72,38,5.88,69.3833,178.4167
78,dumas,US,63.54,82,0,5.75,35.8656,-101.9732
79,goldap,PL,66.81,61,6,7.23,54.3063,22.3036
80,namatanai,PG,79.57,83,99,6.8,-3.6667,152.4333
81,vao,NC,71.11,62,81,13.67,-22.6667,167.4833
82,talara,PE,63.16,82,56,16.37,-4.5772,-81.2719
83,nikolskoye,RU,67.87,34,9,6.76,59.7035,30.7861
84,katobu,ID,74.32,94,100,4.88,-4.9408,122.5276
85,neringa,LT,61.45,71,36,7.92,55.3719,21.0647
86,crepy-en-valois,FR,71.11,67,100,5.86,49.2336,2.8881
87,mahebourg,MU,77.25,65,21,13.69,-20.4081,57.7
88,cidreira,BR,61.84,93,78,5.55,-30.1811,-50.2056
89,brownsville,US,78.75,90,20,4.61,25.9018,-97.4975
90,batagay-alyta,RU,60.89,54,85,10.29,67.8006,130.4114
91,rincon,US,77.86,89,75,0.0,32.296,-81.2354
92,pochutla,MX,73.81,96,100,3.44,15.7432,-96.4661
93,comodoro rivadavia,AR,36.82,48,0,5.73,-45.8667,-67.5
94,north bend,US,54.91,99,100,9.22,43.4065,-124.2243
95,grand gaube,MU,77.38,52,5,7.0,-20.0064,57.6608
96,tiarei,PF,75.22,73,18,10.49,-17.5333,-149.3333
97,olinda,BR,74.93,88,100,12.66,-8.0089,-34.8553
98,boyolangu,ID,76.89,88,96,6.17,-8.1181,111.8935
99,qaanaaq,GL,36.25,66,56,1.9,77.484,-69.3632
100,chirongui,YT,82.33,69,4,18.59,-12.9319,45.1483
101,puerto del rosario,ES,73.15,64,40,12.66,28.5004,-13.8627
102,flinders,AU,54.05,78,2,3.0,-34.5833,150.8552
103,vanimo,PG,79.03,83,50,4.03,-2.6741,141.3028
104,goma,CD,71.13,64,64,3.98,-1.6792,29.2228
105,saint-pierre,RE,75.9,53,0,11.5,-21.3393,55.4781
106,hohhot,CN,80.6,39,8,3.65,40.8106,111.6522
107,dikson,RU,38.55,88,94,14.72,73.5069,80.5464
108,pevek,RU,34.9,62,19,5.91,69.7008,170.3133
109,krasnogvardeyskoye,RU,87.26,39,77,8.59,45.8456,41.5186
110,faya,SA,82.92,22,42,7.27,18.3851,42.4509
111,castro,BR,60.8,82,38,6.98,-24.7911,-50.0119
112,kodiak,US,60.31,59,0,10.36,57.79,-152.4072
113,rawah,IQ,92.7,27,0,17.96,34.4816,41.9093
114,muisne,EC,74.23,90,100,11.01,0.6,-80.0333
115,erandique,HN,58.82,96,88,7.07,14.2333,-88.4667
116,tasiilaq,GL,41.16,81,100,5.64,65.6145,-37.6368
117,ossora,RU,47.55,95,100,5.88,59.2353,163.0719
118,yeppoon,AU,56.98,72,4,6.22,-23.1333,150.7333
119,tukrah,LY,81.93,56,0,10.94,32.5341,20.5791
120,port lincoln,AU,56.34,80,100,11.45,-34.7333,135.8667
121,shitkino,RU,77.05,32,5,4.36,56.3703,98.3543
122,juli,PE,31.86,38,52,4.59,-16.2167,-69.45
123,new norfolk,AU,46.71,86,61,3.06,-42.7826,147.0587
124,dosso,NE,91.62,43,77,11.83,13.049,3.1937
125,rabak,SD,100.09,25,47,11.79,13.1809,32.74
126,pisco,PE,60.85,82,100,4.61,-13.7,-76.2167
127,sinnamary,GF,76.6,86,99,5.17,5.3833,-52.95
128,fairbanks,US,55.36,83,40,5.75,64.8378,-147.7164
129,balkanabat,TM,105.44,8,0,20.89,39.5108,54.3671
130,sao felix do xingu,BR,71.56,71,3,1.3,-6.6447,-51.995
131,gat,IL,83.8,17,23,15.05,31.61,34.7642
132,shaunavon,CA,53.89,71,64,10.36,49.6501,-108.4181
133,salinas,US,63.21,74,0,3.44,36.6777,-121.6555
134,san carlos de bariloche,AR,29.95,80,100,8.05,-41.1456,-71.3082
135,cherskiy,RU,56.84,40,87,10.54,68.75,161.3
136,gornyy,RU,70.93,64,20,11.92,55.1153,83.9059
137,tessalit,ML,104.81,11,18,3.0,20.1986,1.0114
138,saeby,DK,60.73,62,36,18.59,57.3319,10.5225
139,carnarvon,AU,71.85,55,0,8.05,-24.8667,113.6333
140,bambous virieux,MU,77.22,63,17,13.22,-20.3428,57.7575
141,evensk,RU,45.77,95,100,5.35,61.95,159.2333
142,kudahuvadhoo,MV,84.11,71,96,10.29,2.6708,72.8944
143,hotarele,RO,87.17,27,24,8.77,44.1725,26.3703
144,jijiga,ET,81.12,35,90,9.62,9.35,42.8
145,srednekolymsk,RU,62.44,43,99,6.85,67.45,153.6833
146,hailun,CN,71.55,73,55,13.71,47.45,126.9333
147,san patricio,US,82.26,89,4,2.44,28.017,-97.5169
148,thompson,CA,47.08,69,3,3.98,55.7435,-97.8558
149,tuktoyaktuk,CA,43.32,62,92,8.88,69.4541,-133.0374
150,tiksi,RU,37.78,70,33,4.05,71.6872,128.8694
151,kholtoson,RU,65.84,56,53,4.25,50.2981,103.3097
152,coihaique,CL,15.75,86,0,0.0,-45.5752,-72.0662
153,dubti,ET,105.85,18,96,6.89,11.7361,41.0853
154,ust-koksa,RU,78.51,47,49,9.28,50.2696,85.6108
155,port macquarie,AU,50.9,68,0,6.98,-31.4333,152.9167
156,san juan,AR,37.6,86,100,7.05,-31.5375,-68.5364
157,sola,VU,79.43,81,49,19.6,-13.8833,167.55
158,dingle,PH,79.43,84,100,3.49,10.9995,122.6711
159,bazaliya,UA,61.02,79,99,20.02,49.7127,26.4733
160,pskov,RU,66.11,52,40,6.71,57.8136,28.3496
161,kargasok,RU,67.73,71,100,4.36,59.0556,80.8572
162,kalat,PK,79.84,8,0,15.84,29.0225,66.5916
163,vagur,FO,50.04,93,100,31.23,61.4732,-6.8119
164,clyde river,CA,36.46,88,82,1.92,70.4692,-68.5914
165,atar,MR,90.88,43,19,5.35,20.5169,-13.0499
166,medvedka,RU,55.76,87,100,5.73,61.1629,46.387
167,port hardy,CA,50.18,87,75,6.91,50.6996,-127.4199
168,algiers,DZ,78.62,57,40,12.66,36.7525,3.042
169,yulara,AU,60.01,42,0,8.9,-25.2406,130.9889
170,jardim,BR,63.5,71,5,4.5,-21.4803,-56.1381
171,mazatlan,MX,80.56,78,75,0.0,23.2167,-106.4167
172,salalah,OM,86.09,79,75,19.57,17.0151,54.0924
173,nanortalik,GL,38.43,85,79,17.72,60.1432,-45.2371
174,ilulissat,GL,35.62,93,75,5.75,69.2167,-51.1
175,leh,IN,64.85,19,97,5.57,34.1667,77.5833
176,port elizabeth,ZA,67.1,84,100,3.0,-33.918,25.5701
177,timizart,DZ,88.5,36,100,9.01,36.8,4.2667
178,coquimbo,CL,56.93,62,100,16.11,-29.9533,-71.3436
179,meulaboh,ID,81.54,77,98,3.89,4.1363,96.1285
180,husavik,IS,42.98,92,83,16.6,66.0449,-17.3389
181,port alfred,ZA,68.18,76,100,3.0,-33.5906,26.891
182,krasnogvardeyskiy,RU,60.51,89,98,13.15,57.3793,62.3195
183,komsomolskiy,UZ,79.52,36,92,4.61,40.4272,71.7189
184,kumluca,TR,87.01,42,0,8.14,36.3703,30.2869
185,chapais,CA,59.88,98,100,9.82,49.7834,-74.8492
186,havelock,US,75.94,86,50,1.97,34.8791,-76.9013
187,touros,BR,74.39,94,100,13.65,-5.1989,-35.4608
188,ahipara,NZ,47.46,84,49,3.94,-35.1667,173.1667
189,makakilo city,US,75.52,78,0,8.05,21.3469,-158.0858
190,valentigney,FR,76.15,92,100,4.41,47.4639,6.8317
191,pemangkat,ID,81.91,76,89,5.14,1.1667,108.9667
192,san cristobal,VE,64.58,95,66,3.31,7.7669,-72.225
193,arraial do cabo,BR,71.46,88,0,11.5,-22.9661,-42.0278
194,hamilton,US,74.55,86,0,5.75,39.1834,-84.5333
195,turayf,SA,84.24,23,0,16.06,31.6725,38.6637
196,lompoc,US,57.34,100,75,0.0,34.6391,-120.4579
197,codrington,AU,53.31,90,100,11.16,-38.2667,141.9667
198,butaritari,KI,82.49,74,53,9.64,3.0707,172.7902
199,puerto ayacucho,VE,72.16,94,53,2.59,5.6639,-67.6236
200,cayenne,GF,77.09,1,100,3.44,4.9333,-52.3333
201,khani,GE,58.57,97,100,2.1,41.9563,42.9566
202,vardo,NO,46.38,93,75,12.66,70.3705,31.1107
203,torbay,CA,58.87,90,100,1.01,47.6666,-52.7314
204,ponta do sol,PT,70.72,62,46,6.69,32.6667,-17.1
205,zambezi,ZM,80.96,23,0,7.25,-13.5432,23.1047
206,ribeira grande,PT,66.6,82,40,13.8,38.5167,-28.7
207,marfino,RU,69.17,50,40,15.66,55.7028,37.3822
208,narsaq,GL,44.82,72,6,3.22,60.9167,-46.05
209,lubango,AO,71.67,8,0,9.33,-14.9172,13.4925
210,coahuayana,MX,76.3,92,96,2.84,18.7333,-103.6833
211,zdvinsk,RU,73.0,56,79,10.11,54.7021,78.661
212,isiro,CD,90.28,37,24,1.95,2.7739,27.616
213,vostok,RU,57.43,99,100,4.54,46.4856,135.8833
214,senanga,ZM,80.76,23,0,7.36,-16.1167,23.2667
215,herat,AF,85.51,10,0,12.3,34.5,62.0
216,freeport,US,67.37,85,100,14.97,40.6576,-73.5832
217,altay,CN,88.02,22,0,8.75,47.8667,88.1167
218,takoradi,GH,78.57,80,100,6.51,4.8845,-1.7554
219,airai,TL,56.89,87,99,4.18,-8.9266,125.4092
220,itoman,JP,84.4,87,20,10.36,26.1247,127.6694
221,vangaindrano,MG,68.68,81,71,9.17,-23.35,47.6
222,san andres,CO,82.42,78,75,13.8,12.5847,-81.7006
223,mezen,RU,60.8,46,6,9.35,65.8522,44.24
224,grindavik,IS,46.87,76,75,19.57,63.8424,-22.4338
225,watertown,US,63.61,85,100,10.36,42.3709,-71.1828
226,balsta,SE,69.73,88,100,1.79,59.5671,17.5278
227,cockburn town,TC,76.96,78,40,3.44,21.4612,-71.1419
228,xining,CN,75.79,42,31,17.78,36.6167,101.7667
229,tibiri,NE,95.27,31,9,9.55,13.5627,7.0485
230,hithadhoo,MV,83.82,71,28,7.52,-0.6,73.0833
231,kumylzhenskaya,RU,79.9,54,81,9.89,49.8809,42.5898
232,lisakovsk,KZ,80.6,43,1,18.12,52.5369,62.4936
233,lavrentiya,RU,40.28,98,94,7.85,65.5833,-171.0
